Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
210.933,307.2324,3.5,2.5,6,2.5325,2,104.7088,3.079671
260.678,356.9774,2,2.5,4.5,2.215,2,46.42163,1.365342
25.23749,121.5368,2.5,3,5.5,2.336364,1,56.2065,1.653132
311.5437,47.84308,5,3,8,2.290385,2,55.29414,1.626298
333.8037,70.10309,4.5,3,7.5,2.567225,2,96.66261,2.843018
1.254108,97.55347,2,4,6,2.332,2,50.11986,1.474114
333.5522,69.85162,1.5,4,5.5,2.185357,2,119.286,3.508413
52.055,148.3544,9,2,11,2.337037,3,36.20488,1.064849
324.5739,60.87323,3,4.5,7.5,2.2288,2,147.277,4.331676
338.385,74.68439,4.5,5,9.5,2.921856,2,81.99313,2.411563
268.0633,4.36261,1.5,5.5,7,2.293333,1,33.65748,0.9899259
256.6884,352.9877,5.5,4.5,10,2.450682,1,23.46718,0.6902112
341.918,78.21738,1.5,6,7.5,2.098824,2,99.92933,2.939098
351.5915,87.89081,2,7,9,2.222105,2,54.88125,1.614154
302.166,38.46536,1.5,8,9.5,2.072,2,40.04033,1.177657
340.4809,76.78027,2,8.5,10.5,2.247143,2,62.98458,1.852488
335.7153,72.01468,3.5,9,12.5,2.134722,2,105.1202,3.091771
185.4637,281.763,3,11.5,14.5,3.049333,2,17.55664,0.5163719
244.545,340.8443,3,12,15,2.27675,1,16.77076,0.4932578
28.68931,124.9886,12,0.5,12.5,2.771645,2,22.63558,0.6657524
216.6768,312.9761,11.5,1,12.5,3.270686,2,73.46294,2.160675
142.8958,239.1951,6,1.5,7.5,2.125,2,21.93448,0.6451319
199.4655,295.7649,3,1.5,4.5,2.639412,2,83.60918,2.459094
157.807,254.1064,2,1.5,3.5,2.487273,NaN,10.27827,0.3023022
47.61964,143.919,9.5,0,9.5,3.232625,3,95.42435,2.806598
54.54962,150.849,2,2,4,2.807667,1,42.31408,1.244532
103.2647,199.5641,2.5,2.5,5,2.475714,1,34.55504,1.016325
207.5281,303.8275,4,2.5,6.5,2.687484,2,108.2956,3.185163
163.5755,259.8748,3.5,1.5,5,2.549737,2,63.949,1.880853
197.5928,293.8922,1.5,3.5,5,2.27,2,108.4688,3.190259
259.4497,355.7491,4,5.5,9.5,2.389241,1,39.08439,1.149541
74.17278,170.4721,5,6,11,2.547072,2,33.87234,0.9962453
279.0536,15.35294,2,8.5,10.5,2.34,1,36.77456,1.081605
121.4918,217.7911,5.5,0,5.5,4.490314,2,12.20474,0.3390206
34.80106,131.1004,4,1,5,3.7,2,26.62507,0.7395853
313.8312,50.13052,4.5,1,5.5,4.781,2,24.88669,0.691297
245.3706,341.67,4,1,5,4.18,2,66.46585,1.846274
210.3663,306.6657,6.5,1,7.5,4.230082,2,65.6181,1.822725
0.1442757,96.44363,8.5,2,10.5,4.050421,2,36.95898,1.026638
191.7505,288.0499,4,5.5,9.5,3.957895,1,20.4238,0.5673277
107.4725,203.7719,3.5,7.5,11,3.78,2,21.59709,0.5999191
165.3686,261.6679,3,9.5,12.5,4.204828,NaN,10.58251,0.2939587
354.7151,327.9236,15,0,15,4.767725,1,34.55957,0.9599879
280.3352,253.5437,3,0,3,3.401545,4,14.45416,0.4015046
204.173,177.3814,3.5,1.5,5,2.823684,3,13.70927,0.3808131
359.6422,332.8506,9.5,2,11.5,3.389097,3,136.0535,3.779264
243.8315,217.0399,2.5,2,4.5,2.67,4,29.1081,0.8085585
182.5753,155.7837,3,2,5,2.632143,4,137.589,3.821916
81.80704,55.01547,4.5,2,6.5,2.868,1,41.23105,1.145307
354.8202,328.0286,11,2.5,13.5,2.92514,3,91.13646,2.531568
189.7407,162.9491,1.5,5,6.5,2.455,1,79.46609,2.207391
188.6678,161.8762,2,5.5,7.5,2.338571,1,90.4977,2.513825
205.858,179.0665,8.5,5.5,14,3.101329,2,38.83464,1.07874
190.5844,163.7928,6,8.5,14.5,2.712966,1,78.9314,2.192539
355.0292,328.2377,2,13,15,2.762879,2,69.87264,1.940907
314.0113,287.2197,15,0,15,3.940293,2,31.13506,0.8648627
68.81082,42.01926,2,1,3,2.841818,3,101.0496,2.806932
74.56506,47.7735,4,1,5,2.722,2,111.8063,3.105732
18.17407,351.3825,1.5,1.5,3,3.864,2,29.38451,0.8162364
58.87262,32.08105,4,1.5,5.5,2.625128,2,67.26398,1.868444
137.6071,110.8156,3,1.5,4.5,2.59619,4,55.47779,1.54105
129.558,102.7664,2,2,4,2.826052,2,63.11443,1.753179
256.5873,229.7957,5.5,2.5,8,3.253237,2,63.4193,1.761647
71.44821,44.65665,2,2.5,4.5,2.514,2,109.8362,3.051007
165.2623,138.4708,2,3.5,5.5,2.442,2,44.06401,1.224
111.7491,84.95758,6,3.5,9.5,2.717121,1,70.77029,1.965842
90.2569,63.46533,7,2.5,9.5,2.727842,2,69.91272,1.94202
91.35388,64.56232,11.5,1,12.5,3.379265,2,116.4923,3.235898
267.1159,240.3244,4.5,4.5,9,2.446829,2,100.5688,2.793577
271.9719,245.1803,4.5,6.5,11,2.423889,2,84.30441,2.341789
129.1703,102.3788,2.5,6.5,9,2.619375,1,47.45544,1.318207
250.0044,223.2128,2,7,9,2.597037,2,73.98856,2.055238
72.99667,46.20511,4.5,7,11.5,2.528824,2,82.49907,2.291641
256.7143,229.9227,1.5,8.5,10,2.358824,2,85.0367,2.36213
254.3161,227.5245,2,9.5,11.5,2.3925,2,99.87714,2.774365
70.65628,43.86472,2,10,12,2.629091,2,60.45745,1.679374
91.80176,65.01019,3,11,14,2.425417,2,83.7945,2.327625
91.89105,65.09949,1.5,11.5,13,2.57625,2,97.42479,2.706244
65.76414,188.0229,4.5,0,4.5,3.17603,1,30.34651,0.6069301
96.51914,218.7779,5.5,0,5.5,3.701513,2,25.12288,0.5024576
245.5728,7.831512,2,0,2,2.9245,NaN,7.261816,0.1452363
258.704,20.96277,2,0.5,2.5,3.320909,2,30.39044,0.6078089
135.4835,257.7422,13.5,0,13.5,3.552078,4,49.35242,0.9870484
236.449,358.7077,4,1,5,3.000435,2,14.94973,0.2989945
107.6926,229.9514,3,1.5,4.5,2.778095,1,101.492,2.029839
108.7718,231.0305,10,1.5,11.5,3.162934,2,89.7234,1.794468
63.37476,185.6335,6.5,1.5,8,3.06,3,52.94304,1.058861
229.4308,351.6895,6,1,7,3.497097,2,37.4577,0.7491539
276.9444,39.20316,5.5,1.5,7,3.312381,3,33.78225,0.675645
123.953,246.2117,1.5,2.5,4,2.55,1,111.463,2.22926
23.52404,145.7828,2.5,2.5,5,3.218889,NaN,3.539869,0.07079738
47.65247,169.9112,1.5,3.5,5,3.04875,4,34.77294,0.6954588
85.81571,208.0744,2,4,6,3.553,2,41.19548,0.8239095
108.617,230.8757,2.5,5.5,8,4.181636,2,40.31328,0.8062656
107.0592,229.3179,2.5,7.5,10,2.501667,2,106.3143,2.126286
48.71611,156.6355,9.5,0,9.5,3.406743,2,47.54532,0.9509064
206.0322,313.9516,13.5,0,13.5,3.41398,2,46.91462,0.9382924
108.6044,216.5238,1.5,0,1.5,2.996923,2,13.43069,0.2686139
32.67234,140.5917,6,0,6,3.809279,1,24.86581,0.4973163
143.6412,251.5605,6,0.5,6.5,3.729569,NaN,5.19619,0.1039238
5.745747,113.6651,8.5,0.5,9,3.437425,3,44.09324,0.8818648
311.1476,59.06696,2,0.5,2.5,2.658077,1,43.80453,0.8760905
282.956,30.87534,8,0.5,8.5,2.967094,2,53.15036,1.063007
65.55444,173.4738,2.5,1.5,4,3.545769,1,21.78123,0.4356246
33.94101,141.8604,6.5,1,7.5,3.501274,2,74.12322,1.482464
62.79582,170.7152,1.5,3,4.5,3.057143,1,32.45031,0.6490062
279.5575,27.4769,1.5,4.5,6,2.518,1,38.83379,0.7766759
286.4554,34.37476,3,4.5,7.5,2.616923,2,40.9247,0.818494
205.3862,313.3056,3.5,5,8.5,2.572667,2,71.33942,1.426788
54.28785,201.4568,8.5,0,8.5,3.256376,2,28.70034,0.5740067
228.1178,15.28668,5,0,5,4.688598,1,23.42159,0.4684317
252.688,39.85693,3,1,4,2.654118,1,41.38891,0.8277782
147.5302,294.6992,7,2,9,3.26153,2,79.16994,1.583399
39.60822,186.7771,1.5,2.5,4,2.925,2,93.3381,1.866762
53.72243,200.8914,6,2,8,3.026647,2,72.04203,1.440841
40.61117,187.7801,3.5,3,6.5,2.825192,2,45.52331,0.9104661
293.4328,80.60172,1.5,3,4.5,2.612857,1,45.05308,0.9010617
15.43372,162.6026,3,2.5,5.5,2.788824,2,45.87755,0.917551
53.74845,200.9174,1.5,4,5.5,2.604375,2,115.1849,2.303699
269.2053,56.37418,1.5,4,5.5,2.585,1,44.17081,0.8834162
45.58723,192.7561,3,5.5,8.5,2.760834,2,102.3947,2.047893
46.86974,194.0387,3.5,3.5,7,2.578824,2,94.47906,1.889581
40.9194,188.0883,9,0,9,2.930871,3,31.53335,0.6306671
91.77709,238.946,5,0,5,3.584983,1,16.22981,0.3245962
350.9217,138.0906,2.5,0.5,3,2.602916,2,26.75124,0.5350249
321.8799,109.0488,2,1,3,3.406,NaN,9.603913,0.1920783
59.45129,206.6202,8,2,10,3.358426,1,65.50177,1.310035
229.7927,8.752991,6.5,0,6.5,3.179075,2,108.3466,1.003209
37.16808,176.1284,7,0,7,3.368595,2,39.28835,0.363781
70.58627,209.5466,5,0,5,2.995223,3,11.52726,0.1067339
39.61761,178.5779,9,1,10,2.876297,3,85.58962,0.7924965
42.60248,181.5628,4,1.5,5.5,2.762889,1,76.2817,0.7063121
24.19104,163.1514,5,1.5,6.5,2.9445,2,61.46173,0.5690901
37.89951,176.8598,10,2,12,3.48,2,105.449,0.9763796
234.2289,13.18924,11,0.5,11.5,3.879622,3,73.50364,0.6805893
47.00338,185.9637,5,2.5,7.5,3.492241,3,62.4336,0.5780889
41.87476,180.8351,1.5,3,4.5,2.7275,2,12.48214,0.1155754
210.5461,349.5064,2,4.5,6.5,2.67,1,18.64705,0.1726579
36.98153,175.9418,9.5,2,11.5,3.333506,2,13.35614,0.1236679
221.1828,0.1431274,2,5,7,2.735555,1,62.1927,0.5758583
247.712,26.67236,9.5,5,14.5,2.971214,1,49.1297,0.4549047
222.0306,0.9909668,5,10,15,2.722222,3,28.57289,0.2645638
37.98337,176.9437,1.5,10.5,12,2.559334,2,93.16321,0.8626223
141.8172,281.0688,9,0,9,3.299595,4,141.5159,1.310333
137.6081,276.8597,9,0,9,3.984567,4,107.6846,0.9970799
122.5291,261.7808,6.5,0,6.5,3.401321,2,41.6305,0.3854676
72.94978,212.2014,6.5,0,6.5,3.982435,3,14.81759,0.1371999
336.1213,115.373,4,2,6,3.017778,2,98.47496,0.9118052
313.0317,92.28336,2,2,4,3.160714,2,94.54527,0.8754192
321.4528,100.7044,2.5,2,4.5,2.625715,3,150.7239,1.395591
154.3559,293.6075,2.5,3,5.5,3.655555,1,103.5426,0.9587281
12.63958,151.8912,8,4,12,2.913478,4,44.57522,0.4127335
336.1447,115.3963,3.5,4,7.5,2.651,2,121.0232,1.120585
31.44371,170.6954,2.5,4.5,7,2.681666,1,37.07022,0.3432428
129.8279,269.0796,3,5.5,8.5,2.552353,3,74.29752,0.6879401
326.8704,106.1221,4,6,10,2.724245,2,148.6983,1.376836
325.4136,104.6653,1.5,8.5,10,2.595,2,133.4764,1.235893
339.7234,118.9751,1.5,12,13.5,2.678889,1,49.79417,0.4610571
239.6873,322.6598,15,0,15,2.309418,2,38.45057,0.8738766
99.75516,182.7277,6,1,7,2.194805,3,141.6485,3.219285
113.2836,196.2562,12.5,1,13.5,2.086546,2,54.69082,1.242973
258.3754,341.3479,2,1,3,1.858461,1,106.0812,2.410937
281.074,4.046539,3,1,4,2.2,1,146.3866,3.326968
326.508,49.48053,2.5,1,3.5,1.746154,3,44.93497,1.021249
283.5935,6.566071,2,1.5,3.5,1.841667,1,27.13523,0.6167098
275.0315,358.004,10,2,12,1.738884,3,113.0674,2.569713
266.1337,349.1062,3,2,5,1.7196,1,130.5953,2.968074
113.8845,196.857,2.5,2.5,5,1.848667,2,127.7059,2.902406
151.3478,234.3204,7.5,2.5,10,1.860438,1,25.41476,0.5776082
134.588,217.5605,2,3,5,1.992,1,37.96793,0.8629074
284.7648,7.737366,3.5,3,6.5,1.879091,1,144.574,3.285773
